,titulo,descricao_do_recurso,tipo_de_recurso
1023, tcTw4xgNA5w, Descricao do recurso nao identificado, Vídeo
1024, Anatomia de uma célula muscular, Descricao do recurso nao identificado, Vídeo
1025, Redes covalentes e cristais iônicos e metálicos, Descricao do recurso nao identificado, Vídeo
1026, Redesigning the school day at Navigator Schools using a Lab Rotation model bonita, Descricao do recurso nao identificado, Vídeo
1027, tElO67o9G6s, Descricao do recurso nao identificado, Vídeo
1028, Eficiência de Carnot, Descricao do recurso nao identificado, Vídeo
1029, Outro exemplo de estequiometria, Descricao do recurso nao identificado, Vídeo
1030, Entendendo os expoentes, Descricao do recurso nao identificado, Vídeo
1031, bCETBl9pKeQ, Descricao do recurso nao identificado, Vídeo
1032, szJGiVkxuTE, Descricao do recurso nao identificado, Vídeo
1033, T4GqS7X5wp8, Descricao do recurso nao identificado, Vídeo
1034, TaFDjVbbchY, Descricao do recurso nao identificado, Vídeo
1035, Dividindo Frações, Descricao do recurso nao identificado, Vídeo
1036, Exemplo de reação com reagente limitante, Descricao do recurso nao identificado, Vídeo
1037, Estimando valores decimais, Descricao do recurso nao identificado, Vídeo
1038, Transmissão ao vivo de Khan Academy em Português, Descricao do recurso nao identificado, Vídeo
1039, Solucionando problemas de porcentagem 2, Descricao do recurso nao identificado, Vídeo
1040, Percepção da força e aceleração centrípeta, Descricao do recurso nao identificado, Vídeo
1041, Expoentes - nível 1, Descricao do recurso nao identificado, Vídeo
1042, 1eTAuQmPXgE, Descricao do recurso nao identificado, Vídeo
1043, Multiplicação Nível 4 - Dois dígitos vezes um dígito, Nenhuma descrição disponível., Vídeo
1044, T3BexiLM8zA, Descricao do recurso nao identificado, Vídeo
1045, Atravessando o muro verde no Fenway Park, Descricao do recurso nao identificado, Vídeo
1046, tb6xemHOLdw, Descricao do recurso nao identificado, Vídeo
1047, SXuNMyJQkLY, Descricao do recurso nao identificado, Vídeo
1048, tDiekj1Esao, Descricao do recurso nao identificado, Vídeo
1049, tb6xemHOLdw, Descricao do recurso nao identificado, Vídeo
1050, 01Z oGhfE I, Descricao do recurso nao identificado, Vídeo
1051, Equação de estado do gás ideal - exemplo 3, Descricao do recurso nao identificado, Vídeo
1052, Multiplicação de polinômios, Descricao do recurso nao identificado, Vídeo
1053, Magnetismo 5, Descricao do recurso nao identificado, Vídeo
1054, Entendendo os expoentes, Descricao do recurso nao identificado, Vídeo
1055, TEhv11SkDUs, Descricao do recurso nao identificado, Vídeo
1056, TEhv11SkDUs, Descricao do recurso nao identificado, Vídeo
1057, Prova visual da fórmula da aceleração centrípeta, Descricao do recurso nao identificado, Vídeo
1058, Entendendo os expoentes 2, Descricao do recurso nao identificado, Vídeo
1059, Introdução aos estados de oxidação, Descricao do recurso nao identificado, Vídeo
1060, Mais sobre Nox, Descricao do recurso nao identificado, Vídeo
1061, Formulas moleculares e empíricas, Descricao do recurso nao identificado, Vídeo
1062, Balanceando a Equação, Trata do balanceamento das equações químicas., Website externo
1063, Used to, Como usar o used to em Inglês, Vídeo
1064, May e Might, Explicação dos verbos modais (vídeo 3 de 3), Vídeo
1065, Can e Could, Explicação dos verbos modais (vídeo 2 de 3), Vídeo
1066, Will e Would, Explicação dos verbos modais (vídeo 1 de 3), Vídeo
1067, Título, Dicas para elaboração de títulos de redação., Vídeo
1068, Forma Interrogativa, Explicação de como criar perguntas em Inglês, Vídeo
1069, Forma Afirmativa, Explicação de como criar afirmações em Inglês, Vídeo
1070, Coesão, Explicação Coesão em textos em Português, Vídeo
1071, Coerência, Explicação Coerência em textos em Português, Vídeo
1072, CINEMÁTICA: MOVIMENTO UNIFORME - Exemplos, Exemplos de Cinemática: M.U., Vídeo
1073, EFEITO DOPPLER, Efeito Doppler com o Professor Erlon Pereira., Vídeo
1074, ESCALA - MATEMÁTICA, Professor Murakami - Assunto abordado escala., Vídeo
1075, Pré-História, Os três períodos da Pré História., Vídeo
1076, Grécia Antiga #5, Mitologia Grega e Cultura., Vídeo
1077, Idade Média | As Cruzadas #8, Oitava aula sobre a Idade Média: As Cruzadas., Vídeo
1078, Idade Média | Formação dos Estados Modernos #10, Formação dos estados Modernos, Vídeo
1079, Período Pré-Colonial, Brasil Pré-Colonial <VIRGULA> 1500-1530., Vídeo
1080, Primeiro Reinado #1, Aula sobre o primeira reinado., Vídeo
1081, Primeiro Reinado #2, Guerra Cisplatina e Confederação do Equador, Vídeo
1082, Indígenas no Brasil #2 | Genocídio Indígena, Aula sobre o genocídio indígena no Brasil., Vídeo
1083, Indígenas no Brasil #3 | Sexo<VIRGULA> Drogas e Antropofagia, Terceira aula da série Índios no Brasil, Vídeo
1084, Ética e Política | O Príncipe | Maquiavel, Aula sobre Maquiavel - Ética e Política, Vídeo
1085, SIMPLE PAST | Passado Simples, Como usar o Passado Simples no inglês, Vídeo
1086, Verbo TO BE e WAS | WERE, Formas de usos do verbo To Be e do Was e Were, Vídeo
1087, PRESENT PERFECT | Aprenda Como Usar, Como usar o Present Perfect no inglês, Vídeo
1088, WILL e GOING TO, Como usar os futuros Will e Going To em inglês, Vídeo
1089, PRESENT CONTINUOUS, Como usar o Present Continuous, Vídeo
1090, Can<VIRGULA> Could e Would | Saiba Como Usá-los, Como usar o Can o Could e Would em inglês, Vídeo
1091, PAST PERFECT, Como usar o Past Perfect em inglês, Vídeo
1092, Horas em Inglês, Como dizer as horas em inglês, Vídeo
1093, Por que Esqueço Tudo Que Aprendo Em Inglês?, Dicas de como não esquecer as coisas em inglês, Vídeo
1094, 6 Motivos Para Estudar Inglês, Ticas para te motivar a aprender inglês, Vídeo
1095, 5 Dicas Para Melhorar Seu Speaking, Dicas para melhor seu speaking em inglês, Vídeo
1096, USED TO | O Que Significa e Como Usar, O que significa e como usar o Used To, Vídeo
1097, Escrevendo Redação em Inglês, Dicas de como escrever uma redação em inglês, Vídeo
1098, Discurso Indireto em Inglês, Como realmente usar reported Speech em Inglês, Vídeo
1099, o som do TH, Como pronunciar o TH em inglês corretamente, Vídeo
1100, Como usar o Apóstrofo em inglês, Como usar o Possessivo APÓSTROFO S em Inglês, Vídeo
1101, Aprenda a pronunciar cheap vs ship, Aprenda a pronunciar cheap vs ship, Vídeo
1102, filler words, Como usar os filler words para falar inglês, Vídeo
1103, Como adquirir Vocabulário em Inglês, Como adquirir Vocabulário em Inglês, Vídeo
1104, Como aprendi inglês, Falarei um pouco sobre como aprendi inglês, Vídeo
1105, RENASCIMENTO segunda parte - OS LUSÍADAS, Videoaula sobre Os Lusíadas de Camões, Vídeo
1106, RENASCIMENTO terceira parte - CAMÕES LÍRICO, Videoaula sobre a poesia lírica de Camões, Vídeo
1107, BARROCO - AULA 01 - teoria, Videoaula sobre a escola literária do Barroco, Vídeo
1108, BARROCO - AULA 02 - autores, Videoaula sobre os autores do Barroco, Vídeo
1109, QUESTÕES DISSERTATIVAS - POESIA - aula 02, Videoaula analisando um soneto de Camões, Vídeo
1110, Exercícios sobre Acústica, Aula de exercícios sobre Acústica., Vídeo
1111, NAZIFASCISMO 1, Videoaula sobre o Fascismo Italiano., Vídeo
1112, NAZIFASCISMO 2, Videoaula sobre o Nazismo Alemão, Vídeo
1113, NAZIFASCISMO 3, Videoaula sobre a Guerra Civil Espanhola, Vídeo
1114, A CRISE DE 1929, Videoaula sobre a Crise de 1929, Vídeo
1115, A PRÉ-HISTÓRIA, Videoaula sobre a Pré-História, Vídeo
1116, A GRÉCIA ANTIGA, Videoaula sobre a Grécia Antiga, Vídeo
1117, A ORIGEM DA VIDA, Videoaula sobre a Origem da Vida, Vídeo
1118, A PRIMEIRA GUERRA MUNDIAL, Videoaula sobre a Primeira Guerra Mundial, Vídeo
1119, OS PERSAS, Videoaula sobre os Persas, Vídeo
1120, A ÍNDIA ANTIGA, Videoaula sobre a Índia Antiga, Vídeo
1121, OS HEBREUS, Videoaula sobre os Hebreus, Vídeo
1122, A MESOPOTÂMIA, Videoaula sobre a Mesopotâmia, Vídeo
1123, AMÉRICA ANDINA 3, Videoaula sobre a América Andina - Guianas, Vídeo
1124, OCEANIA 1, Videoaula sobre a Oceania - Aspectos Gerais, Vídeo
1125, OCEANIA 2, Videoaula sobre a Oceania - Austrália, Vídeo
1126, OCEANIA 3, Videoaula sobre a Oceania - Nova Zelândia, Vídeo
1127, TEORIAS DEMOGRÁFICAS, Videoaula sobre as Teorias Demográficas, Vídeo
1128, REGIÕES NATURAIS, Videoaula sobre as Regiões Naturais, Vídeo
1129, REGIÕES CULTURAIS, Videoaula sobre as Regiões Culturais, Vídeo
1130, INDÚSTRIALIZAÇÃO DO BRASIL, Videoula sobre a industrialização do Brasil, Vídeo
1131, MATRIZ ENERGÉTICA BRASILEIRA, Videoaula sobre a Matriz Energética do Brasil, Vídeo
1132, CONTINENTES DO MUNDO, Videoaula sobre os continentes do mundo, Vídeo
1133, CARTOGRAFIA 1, Videoaula sobre Cartografia 1: introdução, Vídeo
1134, CARTOGRAFIA 3, Videoaula sobre Cartografia 3: tipos de mapas, Vídeo
1135, REGIME MILITAR 1, Videoaula sobre o Regime Militar (1964-1974), Vídeo
1136, REGIME MILITAR 2, Videoaula sobre o Regime Militar (1974-1985), Vídeo
1137, ORIENTE MÉDIO 3, Videoaula sobre o Oriente Médio: Países Árabes, Vídeo
1138, ÁFRICA 1, Videoaula sobre a África: Aspectos Gerais, Vídeo
1139, POVOS INDÍGENAS DO BRASIL, Videoaula sobre os Povos Indígenas do Brasil, Vídeo
1140, CHINA, Videoaula sobre a China., Vídeo
1141, ÍNDIA, Videoaula sobre a Índia, Vídeo
1142, Cinemática no Enem - Física, Aula de Física sobre Cinemática., Vídeo
1143, Literatura para o ENEM 2017 - Gêneros Literários e o Papel do Protagonista, Aula de Literatura sobre Gêneros Literários., Vídeo
1144, Biologia - Parasitoses - Curso Top Temas do ENEM, Aula de Biologia sobre o tema Parasitoses., Vídeo
1145, Logaritmo - MATEMÁTICA DO ZERO, Aula de Matemática básica sobre logaritmo., Vídeo
1146, Introdução a Ondas - Física do zero, Aula de Física sobre ondas., Vídeo
1147, O que são íons? Distribuição eletrônica - Química do Zero, Aula de Química sobre Íons., Vídeo
1148, TECIDO EPITELIAL PARA ENSINO SUPERIOR, AULA DE ENSINO SUPERIOR SOBRE TECIDO EPITELIAL, Vídeo
1149, SISTEMA DIGESTÓRIO - EXPLICAÇÃO DO QUE MAIS CAI, AULA EXPLICATIVA SOBRE O PROCESSO DIGESTÓRIO, Vídeo
1150, De que peixe nós evoluímos?, Videoaula com informações sobre evolução., Vídeo
1151, Como a matemática explica as manchas e listras dos animais?, Videoaula com informações sobre biomatemática., Vídeo
1152, Por que temos medo de cobras?, Videoaula com informações sobre cobras e medo., Vídeo
1153, Aula de notação cientifica, Aula de notação cientifica, Vídeo
1154, Movimento uniformemente variado, Aula de Movimento uniformemente variado, Vídeo
1155, Velocidade média, Aula completa de Velocidade média, Vídeo
1156, Grandezas Vetoriais, Primeria aula de vetores: Grandezas Vetoriais, Vídeo
1157, Leis de Kirchhoff, Importante discussão das Leis de Kirchhoff, Vídeo
1158, Movimento Uniforme, Aula de Movimento Uniforme, Vídeo
1159, Aceleração, Aula básica de Aceleração, Vídeo
1160, Carga elétrica - Eletrostática, Carga elétrica - Eletrostática, Vídeo
1161, Vetores - Metodo do paralelogramo, Vetores - Metodo do paralelogramo, Vídeo
1162, Campo magnético, Aula de eletromagnetismo: Campo magnético, Vídeo
1163, Tensão elétrica e DDP, Aula de eletrodinâmica: Tensão elétrica e DDP, Vídeo
1164, Vetores - Método da poligonal, Vetores - Método da poligonal, Vídeo
1165, Corrente elétrica, Aula de eletrodinâmica: Corrente elétrica, Vídeo
1166, Equação de Torricelli, Aula de Cinemática: Equação de Torricelli, Vídeo
1167, TERMOQUÍMICA: Entalpia #02, Esta vídeoaula traz os conceitos de Entalpia, Vídeo
1168, TERMOQUÍMICA: Lei de Hess, Esta vídeoaula traz os conceitos de Lei Hess, Vídeo
1169, Vídeo Aula de Genética 10 - Cruzamento de hemofilia, Cruzamento genético envolvendo hemofilia., Vídeo
1170, Vídeo Aula de Genética 11 - Cruzamento de daltonismo, Cruzamento genético envolvendo daltonismo., Vídeo
1171, As Aranhas - Curiosidade em Biologia, Curiosidades sobre o mundo das aranhas., Vídeo
1172, Dúvidas de cruzamentos genéticos, Resolvendo dúvida sobre cruzamentos genéticos., Vídeo
1173, PRONOMES EM INGLÊS | Como usar I<VIRGULA> me<VIRGULA> my<VIRGULA> they<VIRGULA> we<VIRGULA> us<VIRGULA> our..., Uso dos pronomes em inglês., Vídeo
1174, A Voz Passiva em Inglês, Como e quando usar a voz passiva em inglês, Vídeo
1175, ARTIGO DEFINIDO EM INGLÊS, COMO USAR E NÃO USAR O ARTIGO THE EM INGLÊS, Vídeo
1176, ARTIGO INDEFINIDO, COMO USAR OS ARTIGOS INDEFINIDOS EM INGLÊS, Vídeo
1177, AS CONTRAÇÕES EM INGLÊS, COMO ENTENDER E USAR AS CONTRAÇÕES EM INGLÊS, Vídeo
1178, PRONOMES RELATIVOS, COMO USAR OS PRONOMES RELATIVOS EM INGLÊS, Vídeo
1179, ADVÉRBIOS EM INGLÊS PARTE 1, COMO USAR OS ADVÉRBIOS EM INGLÊS - INTRODUÇÃO, Vídeo
1180, TEMPOS VERBAIS EM INGLÊS, COMO USAR TODOS OS TEMPOS VERBAIS EM INGLÊS, Vídeo
1181, SUFIXOS EM INGLÊS PARTE 1, COMO FORMAR E MULTIPLICAR PALAVRAS EM INGLÊS, Vídeo
1182, INFINITIVO X GERÚNDIO INGLES, COMO USAR O INFINITIVO E GERÚNDIOS EM INGLÊS, Vídeo
1183, OS VERBOS MODAIS EM INGLÊS, COMO USAR TODOS OS VERBOS MODAIS EM INGLÊS, Vídeo
1184, PLURAL IRREGULAR EM INGLÊS, PLURAL IRREGULAR DOS SUBSTANTIVOS EM INGLÊS, Vídeo
1185, PHRASAL VERBS 1, COMO USAR O VERBO LOOK, Vídeo
1186, PHRASAL VERBS 2, COMO USA O VERBO TAKE, Vídeo
1187, PHRASAL VERBS 3, COMO USAR O VERBO GET PARTE 2, Vídeo
1188, PHRASAL VERBS 4, COMO USAR O VERBO TURN, Vídeo
1189, PHRASAL VERBS 5, COMO USAR O VERBO GO, Vídeo
1190, PHRASAL VERBS 6, COMO USAR O VERBO GIVE, Vídeo
1191, PHRASAL VERB 7, COMO USAR O VERBO PUT, Vídeo
1192, PHRASAL VERBS 8, COMO USR O VERBO RUN, Vídeo
1193, PHRASAL VERBS 9, COMO USAR O VERBO LIKE, Vídeo
1194, PHRASAL VERBS 10, COMO USAR O VERBO GET PARTE 1, Vídeo
1195, Mecânica | Cinemática | MRU, Apresentação do Movimento Retilíneo e Uniforme, Vídeo
1196, Cinemática Angular | Movimento Circular e Uniforme, Apresentação do Movimento Circular e Uniforme, Vídeo
1197, Pronome - Aula 1: O que é pronome, Esta aula introduz o assunto de pronomes., Vídeo
1198, Verbo - Aula 1: O que é verbo, Esta aula indroduz o assunto sobre verbo., Vídeo
1199, Análise Sintática IV - Crase - Aula 1: Introdução ao estudo da crase, Esta aula introduz os estudos da crase., Vídeo
1200, Análise Sintática III - Regência - Aula 1: Introdução ao estudo da regência, Esta aula introduz os estudos da regência., Vídeo
1201, Terra sonâmbula - Mia Couto, Videoaula com a resenha do livro de Mia Couto, Vídeo
1202, Cálculos de áreas de figuras planas, Aula de Matemática, Vídeo
1203, Aula 04 - Matemática - Funções, Funções, Vídeo
1204, Juguemos con las tablas (Vamos jogar com tabelas), Atividade para praticar operações matemáticas., Jogo
1205, Análise combinatória - Princípio fundamental da contagem - aula 2, Videoaula sobre análise combinatória., Vídeo
1206, Grandezas proporcionais - aula 1, Videoaula sobre grandezas proporcionais., Vídeo
1207, Proporcionalidade inversa, Atividade sobre a proporcionalidade inversa., Áudio
1208, Aula 13 - Matemática - A origem da trigonometria e Ângulos notáveis, A origem da trigonometria • Ângulos notáveis, Vídeo
1209, Classificação de números: racionais e irracionais, Aula sobre números irracionais., Vídeo
1210, Pontos no plano cartesiano, Videoaula sobre o plano cartesiano., Vídeo
1211, Aula 20 - Química - Sais inorgânicos, Sais inorgânicos, Vídeo
1212, Alfabetização Kaxinawá (Geografia e História), Texto em Língua Kaxinawá, Livro digital
1213, Saber Mais - Gênero midiático, Aula de Língua Portuguesa - Gênero midiático, Vídeo
1214, Saber Mais - Estrutura do texto, Aula de Língua Portuguesa - Estrutura do texto, Vídeo
1215, Saber Mais - Coesão e Coerência, Aula de Português - Coesão e Coerência, Vídeo
1216, Saber Mais - Intertextualidade, Aula de Língua Portuguesa - Intertextualidade, Vídeo
1217, Albert Einstein<VIRGULA> o menino e o gênio, Livro conta a história de Albert Einstein., Livro digital
1218, Calculadora de CO2, Para calcular a produção de gás carbônico., Animação/simulação
1219, Brasil: de arquipélago a continente, Mapa do Brasil., Infográfico
1220, Saber Mais - Interlocução, Aula de Língua Portuguesa - Interlocução, Vídeo
1221, A economia e o território brasileiro no século 19, Mapa do Brasil., Infográfico
1222, A economia e o território brasileiro no século 18, Mapa do Brasil., Infográfico
1223, A economia e o território brasileiro no século 17, Mapa do Brasil., Infográfico
1224, O transito e a cidadania, Vídeo fala sobre ética no trânsito., Vídeo
1225, Aula 20 - Língua Portuguesa - Modernismo, Literatura <VIRGULA> Modernismo, Vídeo
1226, Desperdício de água, Imagem que exemplifica o desperdício de água., Infográfico
1227, Aula 21 - Física - Ótica: Geométrica e Física, Ótica Geométrica e física., Vídeo
1228, Aula 08 - Física - Oscilação e Termologia, Oscilação - Termologia, Vídeo
1229, Soletrando, Jogo para praticar a escrita das palavras., Jogo
1230, A história da LEGO, Vídeo conta a história do brinquedo LEGO., Vídeo
1231, Xuxa - Um bom livro, Clip com a música Um bom livro., Vídeo
1232, Evolução do calçado, Infográfico conta a história do calçado., Infográfico
1233, A turma da Mônica em Estatuto da criança e do adolescente, História em quadrinhos sobre o ECA., Livro digital
1234, India driving (Trânsito na Índia), Vídeo com um cruzamento na Índia., Vídeo
1235, Ditado do X e CH, Jogo para treinar a escrita., Jogo
1236, Programa Faz Assim - Radionovela, Programa fala sobre as radionovelas., Vídeo
1237, Soletrando, Competição de soletração, Jogo
1238, Fatores fundamentais na evolução cultural do homem, Jornada evolutiva da espécie humana, Apresentação
1239, Aula 11 - História - O Período Áureo da Borracha., O Período Áureo da Borracha., Vídeo
1240, Aula 08 - História - Chegada de Vargas ao poder, Chegada de Vargas ao poder, Vídeo
1241, A sementinha, Vídeo com a história de uma semente., Vídeo
1242, Quanto vale ou é por quilo?, Trecho de filme., Vídeo
1243, Entrevista de Magda Ricci sobre a Cabanagem, Historiadora comenta dobre a Cabanagem., Infográfico
1244, Memória geométrica, Jogo da memória de figuras geométricas., Jogo
1245, Novo Oda, Descrição do Novo Oda, Animação/simulação
1246, Tipos de Artes Marciais - Aikido, Tipos de Artes Marciais - Aikido, Vídeo
1247, Tipos de Artes Marciais - Sumô, Tipos de Artes Marciais - Sumô, Vídeo
1248, Tipos de Artes Marciais - Muai Thai, Tipos de Artes Marciais - Muai Thai, Vídeo
1249, Tipos de Artes Marciais - Krav magá, Tipos de Artes Marciais - Krav magá, Vídeo
1250, Tipos de Artes Marcias - Karate, Tipos de Artes Marcias - Karate, Vídeo
1251, Tipos de Artes Marciais - Tai chi chuan, Tipos de Artes Marciais - Tai chi chuan, Vídeo
1252, Tipos de Artes Marciais - Ken jutsu, Tipos de Artes Marciais - Ken jutsu, Vídeo
1253, Tipos de Artes Marciais - Wushu, Tipos de Artes Marciais - Wushu, Vídeo
1254, Tipos de Artes Marciais - Jiu jitsu, Tipos de Artes Marciais - Jiu jitsu, Vídeo
1255, Parábola da faixa preta, Parábola da faixa preta, Vídeo
1256, Jogo dos 10 passes, Jogo dos 10 passes, Vídeo
1257, Perífrase estar + gerúndio, Aula sobre Perífrase estar + gerúndio, Vídeo
1258, Simple past - I am a believer, Aula sobre Simple past - I am a believer, Vídeo
1259, Radioactive by Imagine Dragons, Música sobre Radioactive by Imagine Dragons, Vídeo
1260, Present continuous, vídeo sobre Present continuouns, Vídeo
1261, Rude, Vídeo sobre a aula Rude, Vídeo
1262, Future with be going to, Vídeo sobre Future with be going to, Vídeo
1263, We found love, Vídeo sobre We found love, Vídeo
1264, I want to hold your hand, Vídeo sobre a música I want to hold your hand, Vídeo
1265, Novo acordo ortográfico, Vídeo sobre o novo acordo ortográfico, Vídeo
1266, Cartas I, Vídeo sobre cartas I - lingua Portuguesa, Vídeo
1267, Por enquanto, Vídeo sobre sintaxe - por enquanto, Vídeo
1268, Borbulhas de amor, Video sobre entender os pronomes das musicas, Vídeo
1269, Asa branca, vídeo sobre o poema Asa Branca, Vídeo
1270, Lenine - Rua da passagem, Clip musical com Lenine., Vídeo
1271, Quinhentismo, PDF sobre Quinhentismo, Livro digital
1272, Morfologia - Pronome, PDF sobre Morfologia - Pronome, Livro digital
1273, Morfologia - Substantivo, PDF sobre Morfologia - Substantivo, Livro digital
1274, Lingua Portuguesa, PDF sobre Lingua Portuguesa, Livro digital
1275, La familia, Aula sobre La familia, Animação/simulação
1276, Presente de Indicativo, Aula sobre Presente de Indicativo, Animação/simulação
1277, Verbs en español, Aula sobre Verbs en español, Animação/simulação
1278, Los Estabelecimientos, Aula sobre Los Estabelecimientos, Animação/simulação
1279, Rutina diaria, Aula sobre Rutina diaria, Animação/simulação
1280, Apresentações, Aula Apresentações de ligua Espanhola, Animação/simulação
1281, Passive voice and Present form, Aula sobre Passive voice and Present form, Animação/simulação
1282, Black Magic, Aula sobre suffixes, Animação/simulação
1283, Direction Prefixes, Aula sobre Direction Prefixes, Animação/simulação
1284, Not Prefixes, Aula sobre Not Prefixes, Animação/simulação
1285, Simple Past, Animação para o Simple Past, Animação/simulação
1286, Simple past, Figura sobre Simple past, Infográfico
1287, Verbs irregular, Animação sobre Verbs irregular, Animação/simulação
1288, will 6, figura sobre will 6, Infográfico
1289, Will 5, figura sobre will 5, Infográfico
1290, Will 4, Figura sobre will 4, Infográfico
1291, will 3, figura sobre will 3, Infográfico
1292, Will 2, Figura sobre will 2, Infográfico
1293, Will, Figura sobre will, Infográfico
1294, Future with will, Vídeo sobre Future with will, Animação/simulação
1295, CHROMA, Vídeo sobre Chroma, Animação/simulação
1296, Simple Past Sentences, Vídeo sobre Simple Past Sentences, Animação/simulação
1297, Possessive Adjective 2, Animação sobre Possessive Adjective 2, Animação/simulação
1298, Possessive Adjective 1, Animação sobre Possessive Adjective 1, Animação/simulação
1299, Verbs, Animação sobre Verbs, Animação/simulação
1300, Introductions 2, Animação sobre Introductions 2, Animação/simulação
1301, Introductions 1, Animação sobre - Introductions 1, Animação/simulação
1302, Poema de sete faces, Vídeo sobre o Poema de sete faces, Animação/simulação
1303, Os Lusíadas - Epílogo, Vídeo sobre Os Lusíadas - Epílogo, Animação/simulação
1304, Os Lusíadas- Dedicatória, Vídeo sobre Os Lusíadas- Dedicatória, Animação/simulação
1305, Os Lusíadas - Invocação, Vídeo sobre Os Lusíadas - Invocação, Animação/simulação
1306, Os Lusíadas - Proposição, video de Os Lusíadas - Proposição, Animação/simulação
1307, Amor é fogo que arde sem se ver, Vídeo sobre o poema de Luís de Camões, Animação/simulação
1308, O lixo nas cidades, Aula sobre o lixo nas cidades, Livro digital
1309, O Lixo nas Cidades, Aula sobre O Lixo nas Cidades, Livro digital
1310, Americanos no Iraque e Afeganistão, Aula sobre Americanos no Iraque e Afeganistão, Livro digital
1311, Dinâmica Populacional Brasileira, Aula sobre Dinâmica Populacional Brasileira, Livro digital
1312, Movimentos migratórios no Brasil, Aula sobre movimentos migratórios no Brasil, Livro digital
1313, Divisões regionais, Aula sobre Divisões regionais, Livro digital
1314, Industrialização Anglo-Saxônica, Aula sobre Industrialização Anglo-Saxônica, Livro digital
1315, A colonização com um olhar para a Amazônia, Aula sobre Colonização da Amazônia, Livro digital
1316, Geograﬁa da Produção Industrial, Apresentação em PDF sobre Produção Industrial, Apresentação
1317, Taylorismo, Animação sobre Taylorismo., Animação/simulação
1318, Cantiga de Escárnio, Animação que narra uma cantiga de escárnio., Animação/simulação
1319, O telefone - Nara leão, Vídeo sobre figuras de linguagens, Animação/simulação
1320, Frases, Vídeo sobre frases, Animação/simulação
1321, Poema Interjeição.mp3, Audio sobre Poema Interjeição.mp3, Áudio
1322, Blank Space, Vídeo musical sobre blank space, Vídeo
1323, Triplets - Frações equivalentes, Atividade para agrupar frações equivalentes., Jogo
1324, Glossário matemático ilustrado, Resumo de vários conteúdos de Matemática., Livro digital
1325, Aula 21 - Redação, Redação, Vídeo
1326, Reforço Escolar, Jogo de Revisão Língua Portuguesa, Jogo
1327, Entre no carro, História apresenta o som de alguns animais., Livro digital
1328, Dona Glória e seu problema de memória, Texto conta a história de dona Glória., Livro digital
1329, Cinderela aqui e agora, História baseada no conto da Cinderela., Livro digital
1330, A família de Lua e Raio, Conto sobre a importância da amizade., Livro digital
1331, El estado de la inseguridad alimentaria en el mundo 2015, Relação da fomes nos países, Infográfico
1332, Dicas de alongamento, Aula sobre Dicas de alongamento, Animação/simulação
1333, Habilidades locomotoras, Aula sobre Habilidades locomotoras, Animação/simulação
1334, Inciação ao voleibol sentado, Aula sobre Inciação ao voleibol sentado, Animação/simulação
1335, Iniciação ao futebol de cinco, Aula sobre Iniciação ao futebol de cinco, Animação/simulação
1336, Jogar bocha, Aula sobre Jogar bocha, Animação/simulação
1337, Iniciação ao golbol, Aula Iniciação ao golbol, Animação/simulação
1338, Homem Vitruviano, Aula sobre Homem Vitruviano, Animação/simulação
1339, Arte Gótica, Aula sobre Arte Gótica, Animação/simulação
1340, A origem de Roma, Aula sobre A origem de Roma, Animação/simulação
1341, Grécia Antiga, Aula sobre Grécia Antiga, Animação/simulação
1342, Mitos Gregos, Aula sobre Mitos Gregos, Animação/simulação
1343, Continente Africano, Aula sobre Continente Africano, Animação/simulação
1344, Poema Quadrilha, Aula sobre Poema Quadrilha, Animação/simulação
1345, La familia II, Aula sobre La família II, Animação/simulação
1346, Canção do Exílio, Vídeo sobre a canção do exílio, Animação/simulação
1347, O sal da Terra, Video sobre O sal da Terra, Animação/simulação
1348, Lenine - Rua da passagem, Letra e música de Lenine sobre o trânsito., Infográfico
1349, Vídeo A Função da Crase, Aula sobre o uso e a função da crase., Vídeo
1350, Jogo Tempos Verbais, Aprender de forma divertida os tempos verbais, Jogo
1351, Despicable (Desprezível), Campanha portuguesa sobre o racismo., Vídeo
1352, Nunca subestime um síndrome de Down, Campanha contra o preconceito., Vídeo
1353, Homossexualidade, Médico fala sobre a homossexualidade., Vídeo
1354, Racismo, Vídeo discute o racismo., Vídeo
1355, Arrastar e soltar - palavras oxítonas, Atividade para completar palavras oxítonas., Jogo
1356, Palavras oxítonas, Jogo para testar os conhecimentos em oxítonas., Jogo
1357, Plural dos substantivos compostos, Quiz sobre o plural de substantivos compostos., Jogo
1358, Aula 15 - Biologia - Fluxo de Energia e de Matéria, Fluxo de Energia e de Matéria, Vídeo
1359, O elefante letrado, Texto conta a história de um elefante., Livro digital
1360, Janela<VIRGULA> janelinha, Atividade para auxiliar na alfabetização., Livro digital
1361, Caminho da escola Huni Kui, Livro de autoria dos professores Huni Kui., Livro digital
1362, O princípio da adaptação, O princípio da adaptação, Animação/simulação
1363, Dinâmica, Dinâmica, Animação/simulação
1364, Teste de aptidão cardiorrespiratória, Teste de aptidão cardiorrespiratória, Animação/simulação
1365, Uso do hifen, vídeo sobre uso do hifen, Animação/simulação
1366, Recordo ainda..., Vídeo sobre figuras de linguagem, Animação/simulação
1367, Perdi o barco, Comunicação, Animação/simulação
1368, A estrutura da lingua, vídeo sobre estrutura da língua, Animação/simulação
1369, O sonho, Vídeo sobre o Poema de Clarice Lispetor, Animação/simulação
